                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    117,                 0.6632,                0.41874,                 1.0714,                0.95593,                0.96175,                0.98774,                0.84571,                0.65838,                 0.3069,                 1.1304,              0.0077032,              0.0077032,              0.0077032
                    118,                0.68547,                0.42618,                 1.0716,                0.95132,                0.96973,                0.98699,                0.83493,                0.67001,                 0.3273,                 1.1356,              0.0076834,              0.0076834,              0.0076834
                    119,                0.67693,                0.42126,                 1.0696,                0.96569,                0.96821,                 0.9877,                0.84809,                0.65911,                0.30167,                  1.124,              0.0076636,              0.0076636,              0.0076636
                    120,                0.66782,                0.41148,                  1.061,                0.96108,                0.96178,                0.98846,                 0.8485,                0.65718,                0.29958,                 1.1244,              0.0076438,              0.0076438,              0.0076438
                    121,                0.65811,                  0.412,                  1.056,                 0.9562,                0.96272,                0.98533,                0.84602,                0.64936,                0.31283,                 1.1148,               0.007624,               0.007624,               0.007624
                    122,                0.66581,                0.40863,                 1.0622,                 0.9532,                0.96789,                0.98893,                0.83924,                0.66811,                0.30903,                 1.1312,              0.0076042,              0.0076042,              0.0076042
                    123,                0.66205,                0.40503,                 1.0625,                0.95735,                 0.9586,                0.98671,                0.84515,                0.64609,                0.32077,                 1.1089,              0.0075844,              0.0075844,              0.0075844
                    124,                0.66171,                0.41072,                 1.0659,                0.96048,                0.96904,                0.98853,                0.84298,                0.66456,                0.30949,                 1.1273,              0.0075646,              0.0075646,              0.0075646
                    125,                0.65596,                0.40932,                 1.0514,                0.96016,                0.96078,                0.98718,                 0.8459,                0.65856,                 0.3093,                 1.1188,              0.0075448,              0.0075448,              0.0075448
                    126,                0.66223,                0.39781,                 1.0566,                0.95819,                0.97021,                0.98824,                0.84614,                0.67032,                0.29479,                 1.1313,               0.007525,               0.007525,               0.007525
                    127,                0.65313,                0.40483,                  1.056,                0.96816,                0.96269,                0.98737,                0.84787,                0.65414,                0.29754,                 1.1198,              0.0075052,              0.0075052,              0.0075052
                    128,                0.66695,                0.41104,                  1.055,                0.95536,                0.96467,                0.98672,                 0.8435,                0.65782,                0.31146,                  1.124,              0.0074854,              0.0074854,              0.0074854
                    129,                0.66505,                0.40321,                  1.059,                 0.9635,                0.96763,                0.98789,                0.84996,                0.65066,                0.30321,                 1.1151,              0.0074656,              0.0074656,              0.0074656
                    130,                 0.6608,                 0.4079,                 1.0583,                0.95007,                0.96979,                0.98753,                0.84626,                0.65257,                0.30736,                 1.1166,              0.0074458,              0.0074458,              0.0074458
                    131,                0.64834,                 0.4022,                 1.0478,                0.96089,                0.96837,                0.98845,                0.84855,                 0.6494,                 0.2969,                   1.12,               0.007426,               0.007426,               0.007426
                    132,                0.64896,                0.40251,                 1.0524,                0.95214,                0.97223,                0.98807,                0.85297,                0.64326,                0.29596,                 1.1081,              0.0074062,              0.0074062,              0.0074062
                    133,                0.66358,                0.40812,                 1.0612,                0.95825,                0.96128,                0.98619,                0.84733,                0.65302,                0.30058,                 1.1179,              0.0073864,              0.0073864,              0.0073864
                    134,                 0.6589,                0.39831,                 1.0573,                0.96534,                0.96857,                0.99012,                 0.8474,                0.66064,                0.29111,                 1.1246,              0.0073666,              0.0073666,              0.0073666
                    135,                0.65439,                0.40165,                 1.0549,                0.96121,                0.96216,                 0.9879,                0.84228,                0.66726,                0.29501,                 1.1311,              0.0073468,              0.0073468,              0.0073468
                    136,                0.66487,                0.41982,                 1.0613,                0.96666,                0.96074,                0.98908,                0.85008,                0.65146,                 0.2912,                 1.1219,               0.007327,               0.007327,               0.007327
                    137,                0.65424,                0.40185,                 1.0571,                0.96553,                0.96238,                0.98737,                0.84681,                0.65685,                0.29521,                 1.1208,              0.0073072,              0.0073072,              0.0073072
                    138,                0.66636,                0.39971,                 1.0634,                0.95844,                0.95538,                0.98308,                0.84903,                0.65424,                0.30499,                 1.1342,              0.0072874,              0.0072874,              0.0072874
                    139,                0.64892,                0.39168,                 1.0514,                0.96571,                0.96736,                0.98835,                0.85242,                0.64573,                0.28708,                 1.1091,              0.0072676,              0.0072676,              0.0072676
                    140,                0.65078,                0.39912,                 1.0519,                0.96381,                0.97392,                0.99069,                0.85228,                0.65862,                0.29138,                 1.1261,              0.0072478,              0.0072478,              0.0072478
                    141,                0.64694,                 0.3844,                 1.0517,                0.97187,                0.96326,                0.98927,                0.84727,                0.65633,                0.29192,                 1.1192,               0.007228,               0.007228,               0.007228
                    142,                0.65205,                0.39514,                  1.055,                0.96224,                0.97567,                0.98871,                0.84976,                0.64037,                0.29336,                 1.1163,              0.0072082,              0.0072082,              0.0072082
                    143,                 0.6463,                0.39473,                 1.0479,                0.96055,                 0.9677,                0.98858,                 0.8517,                0.63555,                0.28766,                 1.1128,              0.0071884,              0.0071884,              0.0071884
                    144,                0.64806,                0.39546,                 1.0546,                0.95882,                0.97172,                0.98852,                0.84841,                0.66271,                0.29097,                 1.1323,              0.0071686,              0.0071686,              0.0071686
                    145,                0.65127,                 0.3904,                 1.0537,                0.96264,                0.96435,                0.98948,                0.84539,                0.65224,                0.29002,                 1.1206,              0.0071488,              0.0071488,              0.0071488
                    146,                0.65312,                0.39084,                 1.0564,                0.96551,                0.97114,                0.98822,                0.85402,                0.64015,                0.29595,                 1.1066,               0.007129,               0.007129,               0.007129
                    147,                0.64333,                0.38299,                 1.0487,                0.96434,                0.96122,                0.98759,                 0.8493,                0.64538,                0.29648,                 1.1215,              0.0071092,              0.0071092,              0.0071092
                    148,                0.64857,                0.38833,                 1.0469,                0.96059,                0.96225,                0.98773,                0.84847,                0.64854,                0.30243,                 1.1155,              0.0070894,              0.0070894,              0.0070894
                    149,                0.64556,                0.38632,                 1.0482,                0.95176,                0.96748,                0.98916,                0.85037,                0.64408,                0.29921,                 1.1114,              0.0070696,              0.0070696,              0.0070696
                    150,                 0.6547,                0.38791,                 1.0559,                0.95531,                0.96489,                0.98846,                0.84735,                0.64542,                0.29711,                 1.1018,              0.0070498,              0.0070498,              0.0070498
                    151,                0.64755,                0.39389,                 1.0473,                0.95889,                 0.9596,                0.98759,                 0.8522,                0.64435,                0.29649,                 1.1086,                0.00703,                0.00703,                0.00703
